EcoPortCode,ScientificName,AUTH,FAMNAME,SYNO,COMNAME,LIFO,HABI,LISPA,PHYS,CAT,PLAT,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,PHOPMN,PHOPMX,PHMIN,PHMAX,LATOPMN,LATOPMX,LATMN,LATMX,ALTMX,LIOPMN,LIOPMX,LIMN,LIMX,DEP,DEPR,TEXT,TEXTR,FER,FERR,TOX,TOXR,SAL,SALR,DRA,DRAR,KTMPR,KTMP,PHOTO,CLIZ,ABITOL,ABISUS,INTRI,PROSY,GMIN,GMAX,COMNAME_LIST,CAT_LIST,CLIZ_LIST,SYNO_LIST,PLAT_LIST,LISPA_LIST,TEXTR_LIST,FERR_LIST,TOXR_LIST,DRAR_LIST,HABI_LIST,LIFO_LIST,PHYS_LIST,PROSY_LIST,INTRI_LIST,ABITOL_LIST,ABISUS_LIST,PHOTO_LIST,PHOTO_DESC,TEXT_LIST,TEXT_DESC,DRA_LIST,DRA_DESC,SALR_LIST,SALR_DESC,FER_LIST,FER_DESC,TOX_LIST,TOX_DESC,DEPR_LIST,DEPR_DESC,IS_DROUGHT_TOLERANT,IS_DROUGHT_SUSCEPTIBLE,IS_FIRE_TOLERANT,IS_FIRE_SUSCEPTIBLE,IS_SALINE_TOLERANT,IS_SALINE_INTOLERANT,IS_MULTIPLE_PHOTO_PERIODS,SOIL_TEXTURE_FLEXIBILITY_SCORE,IS_SOIL_TEXTURE_TOLERANT,IS_HIGH_TEMPERATURE_TOLERANT,IS_LOW_TEMPERATURE_TOLERANT,GROWTH_CYCLE_DAYS,IS_FAST_CYCLE,PRECIP_RANGE_WIDTH,IS_WIDE_PRECIP_TOLERANCE,PH_RANGE_WIDTH,IS_PH_FLEXIBLE,TEMP_RANGE_WIDTH,IS_TEMP_FLEXIBLE,CLIZ_ZONE_COUNT,HAS_MULTIPLE_COMMON_NAMES,IS_SHALLOW_ROOTED,IS_SHORT_DAY,CLIMATE_ADAPT_SCORE,SOIL_ADAPT_SCORE,WATER_ADAPT_SCORE,ADAPTABILITY_SCORE,ADAPTABILITY_LABEL
298,Acacia holosericea,A. Cunn.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"Strap wattle, Candelabra wattle","shrub, tree",erect,perennial,"single stem, multi stem","ornamentals/turf, forest/wood, environmental",grown on small scale,24.0,32.0,12.0,45.0,600.0,1200.0,250.0,1600.0,5.5,7.5,4.5,8.5,13.0,11.0,22.0,24.0,750.0,very bright,very bright,very bright,clear skies,medium (50-150 cm),shallow (20-50 cm),"medium, light","medium, light",moderate,low,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",-1.0,-1.0,short day (<12 hours),"tropical wet & dry (Aw), steppe or semiarid (Bs)",,,,,120.0,300.0,"['strap wattle', 'candelabra wattle']","['ornamentals/turf', 'forest/wood', 'environmental']","['tropical wet & dry (aw)', 'steppe or semiarid (bs)']",[],['grown on small scale'],['perennial'],"['medium', 'light']",['low'],[],"['poorly (saturated >50% of year)', 'well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],"['shrub', 'tree']","['single stem', 'multi stem']",[],[],[],[],['short day'],['short day (<12 hours)'],"['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,True,False,180.0,False,1350.0,False,4.0,True,33.0,True,0,False,False,False,0.6,0.6666666666666666,0.0,0.473,Low
329,Agathis australis,(Lamb.) Steud.,Pinopsida:Araucariaceae,Dammara australis Lamb.,New Zealand kauri,tree,erect,perennial,"evergreen, single stem",forest/wood,,14.0,24.0,5.0,32.0,1200.0,1600.0,1000.0,2000.0,4.8,5.5,4.5,6.5,34.0,34.0,38.0,38.0,400.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"medium, light","heavy, medium, light",high,moderate,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-17.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",subtropical humid (Cf),,wind,,,150.0,240.0,['new zealand kauri'],['forest/wood'],['subtropical humid (cf)'],['dammara australis lamb.'],[],['perennial'],"['heavy', 'medium', 'light']",['moderate'],[],['well (dry spells)'],['erect'],['tree'],"['evergreen', 'single stem']",[],[],[],['wind'],"['short day', 'neutral day', 'long day']","['short day (<12 hours)', 'neutral day (12-14 hours)', 'long day (>14 hours)']","['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['high'],['high'],['nan'],['nan'],['medium'],['medium (50-150 cm)'],False,False,False,False,False,False,False,0,False,False,True,90.0,True,1000.0,False,2.0,True,27.0,True,0,False,False,False,0.58,0.5555555555555555,0.0,0.426,Low
333,Agathis robusta,(F.J. Muell.) F.M. Bailey,Pinopsida:Araucariaceae,,South Queensland kauri,tree,erect,perennial,"evergreen, single stem",forest/wood,harvested from wild,18.0,30.0,6.0,38.0,1500.0,3000.0,900.0,5000.0,5.5,7.0,4.2,8.1,15.0,15.0,27.0,27.0,900.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",moderate,low,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-2.0,0.0,short day (<12 hours),"tropical wet & dry (Aw), subtropical humid (Cf)",,,,,210.0,300.0,['south queensland kauri'],['forest/wood'],"['tropical wet & dry (aw)', 'subtropical humid (cf)']",[],['harvested from wild'],['perennial'],"['heavy', 'medium', 'light']",['low'],[],"['well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],['tree'],"['evergreen', 'single stem']",[],[],[],[],['short day'],['short day (<12 hours)'],"['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,False,True,90.0,True,4100.0,True,3.8999999999999995,True,32.0,True,0,False,False,False,0.6,0.6666666666666666,0.5,0.598,Low
339,Agave sisalana,Perrine ex Engelm.,Liliopsida:Liliidae:Asparagales:Agavaceae,Agave rigida var. sisalana Engelmann,"sisal hemp, Bahama hemp, dali, agave, sisal., ndali, natali (Fiji)",herb,"erect, acaulescent (or rosette plants)",perennial,"evergreen, single stem","materials, environmental",grown on large scale,15.0,27.0,10.0,45.0,900.0,1250.0,500.0,1800.0,6.0,7.5,5.5,8.0,10.0,10.0,25.0,25.0,2000.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",moderate,low,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-5.0,-5.0,short day (<12 hours),"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",,,,,150.0,270.0,"['sisal hemp', 'bahama hemp', 'dali', 'agave', 'sisal.', 'ndali', 'natali (fiji)']","['materials', 'environmental']","['tropical wet & dry (aw)', 'subtropical humid (cf)', 'subtropical dry summer (cs)', 'subtropical dry winter (cw)']",['agave rigida var. sisalana engelmann'],['grown on large scale'],['perennial'],"['heavy', 'medium', 'light']",['low'],[],"['well (dry spells)', 'excessive (dry/moderately dry)']","['erect', 'acaulescent (or rosette plants)']",['herb'],"['evergreen', 'single stem']",[],[],[],[],['short day'],['short day (<12 hours)'],"['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,True,True,120.0,False,1300.0,False,2.5,True,35.0,True,0,False,False,False,0.8,0.6111111111111112,0.0,0.534,Low
352,Albizia stipulata,(Roxb.) H.L. Boivin,Magnoliopsida:Rosidae:Fabales:Leguminosae,,tamalini,tree,erect,perennial,"deciduous, single stem","forest/wood, environmental",,22.0,34.0,4.0,43.0,2000.0,2400.0,1100.0,5000.0,5.5,6.5,5.0,7.5,20.0,20.0,30.0,30.0,1300.0,very bright,cloudy skies,very bright,light shade,deep (>>150 cm),medium (50-150 cm),medium,"medium, light",high,moderate,nan,,low (<4 dS/m),low (<4 dS/m),"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",-1.0,-1.0,short day (<12 hours),tropical wet & dry (Aw),,,,,210.0,300.0,['tamalini'],"['forest/wood', 'environmental']",['tropical wet & dry (aw)'],[],[],['perennial'],"['medium', 'light']",['moderate'],[],"['poorly (saturated >50% of year)', 'well (dry spells)']",['erect'],['tree'],"['deciduous', 'single stem']",[],[],[],[],['short day'],['short day (<12 hours)'],['medium'],['medium'],"['poorly', 'well']","['poorly (saturated >50% of year)', 'well (dry spells)']",['low'],['low (<4 dS/m)'],['high'],['high'],['nan'],['nan'],['medium'],['medium (50-150 cm)'],False,False,False,False,False,False,False,0,False,True,True,90.0,True,3900.0,True,2.5,True,39.0,True,0,False,False,False,0.8,0.6111111111111112,0.5,0.659,Moderate
432,Apium graveolens var. dulce,L.,Magnoliopsida:Rosidae:Apiales:Umbelliferae,,celery,herb,"erect, acaulescent (or rosette plants)","annual, biennial",single stem,"vegetables, materials",grown on small scale,18.0,25.0,4.0,28.0,1000.0,1300.0,300.0,2800.0,5.8,6.8,4.5,8.3,20.0,10.0,55.0,60.0,2000.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"medium, organic","heavy, medium, light, organic",high,moderate,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-5.0,-1.0,long day (>14 hours),"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",,,,"home garden, small scale (manual)",80.0,160.0,['celery'],"['vegetables', 'materials']","['tropical wet & dry (aw)', 'steppe or semiarid (bs)', 'subtropical dry summer (cs)', 'temperate oceanic (do)', 'temperate continental (dc)', 'temperate with humid winters (df)', 'temperate with dry winters (dw)', 'boreal (e)']",[],['grown on small scale'],"['annual', 'biennial']","['heavy', 'medium', 'light', 'organic']",['moderate'],[],['well (dry spells)'],"['erect', 'acaulescent (or rosette plants)']",['herb'],['single stem'],"['home garden', 'small scale (manual)']",[],[],[],['long day'],['long day (>14 hours)'],"['medium', 'organic']","['medium', 'organic']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['high'],['high'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,False,True,80.0,True,2500.0,True,3.8000000000000007,True,24.0,True,0,False,False,False,0.5599999999999999,0.6666666666666666,0.5,0.582,Low
530,Bothriochloa bladhii,(Retz) S.T. Blake,Liliopsida:Commelinidae:Cyperales:Gramineae,"Bothriochloa glabra (Roxb.) A. Camus, Dichanthium bladhii (Retz) Clayton",blue grass,grass,erect,perennial,multi stem,"forage/pasture, environmental",grown on large scale,15.0,28.0,5.0,33.0,750.0,1200.0,600.0,2000.0,6.0,8.0,5.5,8.4,10.0,10.0,32.0,40.0,2500.0,clear skies,light shade,very bright,light shade,medium (50-150 cm),medium (50-150 cm),"heavy, medium","heavy, medium",moderate,low,nan,,low (<4 dS/m),low (<4 dS/m),"well (dry spells), excessive (dry/moderately dry)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",-2.0,-1.0,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","fire, drought, flooding, grazing/browsing, trampling",,,large scale/commercial,150.0,180.0,['blue grass'],"['forage/pasture', 'environmental']","['tropical wet & dry (aw)', 'tropical wet (ar)', 'subtropical humid (cf)']","['bothriochloa glabra (roxb.) a. camus', 'dichanthium bladhii (retz) clayton']",['grown on large scale'],['perennial'],"['heavy', 'medium']",['low'],[],"['poorly (saturated >50% of year)', 'well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],['grass'],['multi stem'],['large scale/commercial'],[],"['fire', 'drought', 'flooding', 'grazing/browsing', 'trampling']",[],['short day'],['short day (<12 hours)'],"['heavy', 'medium']","['heavy', 'medium']","['well', 'excessive']","['well (dry spells)', 'excessive (dry/moderately dry)']",['low'],['low (<4 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['medium'],['medium (50-150 cm)'],False,False,False,False,False,False,False,0,False,False,True,30.0,True,1400.0,False,2.9000000000000004,True,28.0,True,0,False,False,False,0.5866666666666667,0.6555555555555556,0.0,0.464,Low
545,Brachychiton populneus,(Schott & Endl.) R. Br.,Magnoliopsida:Dilleniidae:Malvales:Sterculiaceae,Sterculia populnea,kurrajong,tree,erect,perennial,"evergreen, semi evergreen, single stem",forest/wood,,25.0,32.0,13.0,38.0,450.0,750.0,250.0,1000.0,7.0,8.0,6.5,8.5,17.5,17.5,37.0,37.0,1000.0,very bright,very bright,very bright,clear skies,deep (>>150 cm),medium (50-150 cm),"medium, light","medium, light",high,moderate,nan,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-5.0,-1.0,short day (<12 hours),"desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs)",drought,,,,90.0,120.0,['kurrajong'],['forest/wood'],"['desert or arid (bw)', 'steppe or semiarid (bs)', 'subtropical humid (cf)', 'subtropical dry summer (cs)']",['sterculia populnea'],[],['perennial'],"['medium', 'light']",['moderate'],[],"['well (dry spells)', 'excessive (dry/moderately dry)']",['erect'],['tree'],"['evergreen', 'semi evergreen', 'single stem']",[],[],['drought'],[],['short day'],['short day (<12 hours)'],"['medium', 'light']","['medium', 'light']",['well'],['well (dry spells)'],['medium'],['medium (4-10 dS/m)'],['high'],['high'],['nan'],['nan'],['medium'],['medium (50-150 cm)'],False,False,False,False,False,False,False,0,False,False,False,30.0,True,750.0,False,2.0,True,25.0,True,0,False,False,False,0.3666666666666667,0.5555555555555555,0.0,0.341,Very Low
555,Brassica oleracea var. gemmifera,L. [Zenker],Magnoliopsida:Dilleniidae:Capparales:Cruciferae,,"Brussels sprouts, chou de Bruxelles (French), col de bruselas (Spanish), cavolini di Bruxelles (Italian)",herb,erect,"annual, biennial",single stem,vegetables,grown on large scale,12.0,20.0,7.0,25.0,900.0,1600.0,500.0,3000.0,6.0,7.0,4.5,7.8,30.0,10.0,45.0,60.0,2000.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),medium (50-150 cm),"medium, organic","heavy, medium",high,moderate,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-5.0,-5.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",,,,"home garden, small scale (manual)",100.0,130.0,"['brussels sprouts', 'chou de bruxelles (french)', 'col de bruselas (spanish)', 'cavolini di bruxelles (italian)']",['vegetables'],"['tropical wet & dry (aw)', 'steppe or semiarid (bs)', 'subtropical humid (cf)', 'subtropical dry summer (cs)', 'subtropical dry winter (cw)', 'temperate oceanic (do)', 'temperate continental (dc)', 'temperate with humid winters (df)', 'temperate with dry winters (dw)', 'boreal (e)']",[],['grown on large scale'],"['annual', 'biennial']","['heavy', 'medium']",['moderate'],[],['well (dry spells)'],['erect'],['herb'],['single stem'],"['home garden', 'small scale (manual)']",[],[],[],"['short day', 'neutral day', 'long day']","['short day (<12 hours)', 'neutral day (12-14 hours)', 'long day (>14 hours)']","['medium', 'organic']","['medium', 'organic']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['high'],['high'],['nan'],['nan'],['medium'],['medium (50-150 cm)'],False,False,False,False,False,False,False,0,False,False,True,30.0,True,2500.0,True,3.3,True,18.0,False,0,False,False,False,0.32,0.6666666666666666,0.5,0.486,Low
603,Cananga odorata,(Lam.) Hook. f. & Thoms.,Magnoliopsida:Magnoliidae:Magnoliales:Annonaceae,Canangium odoratum Baill.,"ylang ylang, moso'oi, makosoi, mokosoi, mokohoi, cadmia, ilang-ilang, cananga",tree,erect,perennial,single stem,"materials, medicinals & aromatic",grown on large scale,20.0,30.0,16.0,34.0,1500.0,2000.0,700.0,2800.0,5.0,6.5,4.5,8.0,12.0,10.0,20.0,25.0,500.0,very bright,clear skies,very bright,cloudy skies,shallow (20-50 cm),shallow (20-50 cm),"heavy, medium, light","heavy, medium, light",moderate,low,nan,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),5.0,5.0,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar)",,,,,180.0,365.0,"['ylang ylang', ""moso'oi"", 'makosoi', 'mokosoi', 'mokohoi', 'cadmia', 'ilang-ilang', 'cananga']","['materials', 'medicinals & aromatic']","['tropical wet & dry (aw)', 'tropical wet (ar)']",['canangium odoratum baill.'],['grown on large scale'],['perennial'],"['heavy', 'medium', 'light']",['low'],[],['well (dry spells)'],['erect'],['tree'],['single stem'],[],[],[],[],['short day'],['short day (<12 hours)'],"['heavy', 'medium', 'light']","['heavy', 'medium', 'light']",['well'],['well (dry spells)'],['low'],['low (<4 dS/m)'],['moderate'],['moderate'],['nan'],['nan'],['shallow'],['shallow (20-50 cm)'],False,False,False,False,False,False,False,0,False,False,False,185.0,False,2100.0,True,3.5,True,18.0,False,0,False,False,False,0.12,0.6666666666666666,0.5,0.406,Low
